Seed, Runtime(s), melmax
2, 86.23, 226.00
4, 87.65, 227.00
3, 89.31, 227.00
5, 89.46, 227.00
1, 90.02, 226.00
6, 91.85, 226.00
9, 83.33, 226.00
11, 85.45, 227.00
12, 86.25, 227.00
10, 90.19, 229.00
7, 91.05, 226.00
8, 95.98, 226.00
15, 83.01, 227.00
16, 86.58, 226.00
13, 87.93, 226.00
17, 88.56, 226.00
18, 88.78, 226.00
14, 92.34, 229.00
23, 83.23, 229.00
19, 85.19, 226.00
21, 90.08, 226.00
24, 95.07, 229.00
22, 95.45, 229.00
20, 96.82, 229.00
26, 86.34, 226.00
25, 86.42, 226.00
29, 87.74, 226.00
28, 89.76, 226.00
30, 90.25, 226.00
27, 90.51, 227.00
