Seed, Runtime(s), melmax
2, 65.95, 212.00
4, 67.17, 215.00
3, 67.73, 215.00
1, 68.55, 215.00
5, 69.85, 215.00
6, 70.20, 215.00
10, 65.20, 213.00
12, 66.91, 215.00
9, 68.89, 213.00
8, 70.36, 215.00
11, 70.90, 214.00
7, 71.55, 213.00
18, 63.03, 212.00
13, 65.47, 214.00
14, 66.22, 215.00
15, 67.64, 214.00
17, 68.97, 215.00
16, 69.91, 217.00
21, 63.24, 213.00
23, 63.35, 213.00
22, 63.45, 214.00
19, 64.35, 213.00
20, 66.56, 215.00
24, 69.56, 215.00
29, 62.63, 215.00
28, 64.72, 215.00
27, 65.98, 215.00
30, 65.96, 213.00
26, 67.33, 215.00
25, 71.67, 215.00
