Input, avgRuntime, melmax, best, worst, std
100 4 20, 16.15, 74.66, 73.00, 76.00, 1.24
150 4 20, 27.58, 178.73, 177.00, 180.00, .94
200 4 20, 47.02, 166.13, 165.00, 168.00, .96
250 4 20, 67.11, 214.26, 212.00, 217.00, 1.14
300 4 20, 104.56, 183.93, 182.00, 186.00, 1.25
350 4 20, 145.57, 278.06, 273.00, 282.00, 2.09
400 4 20, 185.06, 309.53, 307.00, 311.00, .77
450 4 20, 253.20, 278.63, 274.00, 283.00, 2.00
500 4 20, 309.19, 305.26, 303.00, 308.00, 1.30
