Seed, Runtime(s), melmax
5, 240.49, 281.00
1, 250.81, 277.00
3, 255.82, 281.00
4, 255.89, 279.00
2, 258.06, 277.00
6, 258.66, 279.00
10, 239.46, 277.00
11, 248.64, 276.00
8, 253.83, 283.00
9, 255.09, 279.00
12, 255.07, 274.00
7, 255.69, 279.00
17, 240.15, 276.00
15, 251.13, 279.00
14, 253.22, 282.00
16, 257.61, 280.00
13, 265.34, 279.00
18, 265.69, 279.00
21, 243.05, 279.00
24, 244.65, 279.00
19, 248.80, 276.00
20, 251.20, 279.00
22, 253.90, 277.00
23, 256.00, 281.00
25, 248.93, 280.00
29, 252.92, 280.00
30, 256.87, 277.00
26, 256.98, 279.00
28, 260.85, 276.00
27, 261.45, 279.00
