Seed, Runtime(s), melmax
2, 299.52, 306.00
4, 302.24, 304.00
6, 303.47, 305.00
1, 306.68, 305.00
3, 311.92, 305.00
5, 323.24, 305.00
9, 287.04, 303.00
12, 297.40, 303.00
7, 302.50, 308.00
8, 303.73, 308.00
11, 304.82, 306.00
10, 315.82, 305.00
15, 306.13, 305.00
18, 310.14, 303.00
14, 315.46, 305.00
13, 315.82, 307.00
16, 316.03, 308.00
17, 316.20, 306.00
19, 295.77, 305.00
23, 302.47, 305.00
24, 306.93, 305.00
20, 313.52, 305.00
22, 314.20, 307.00
21, 324.94, 305.00
29, 307.07, 305.00
27, 309.92, 305.00
30, 314.02, 305.00
25, 314.61, 305.00
26, 316.87, 304.00
28, 317.30, 305.00
