Seed, Runtime(s), melmax
4, 43.58, 177.00
5, 43.90, 177.00
3, 44.93, 174.00
6, 45.00, 177.00
2, 45.26, 176.00
1, 45.26, 174.00
10, 42.67, 174.00
9, 43.81, 174.00
8, 46.67, 176.00
11, 47.08, 177.00
7, 47.07, 177.00
12, 47.48, 177.00
14, 44.26, 177.00
17, 44.67, 177.00
18, 45.01, 177.00
15, 45.16, 177.00
13, 45.34, 176.00
16, 47.08, 177.00
22, 42.35, 177.00
23, 43.52, 177.00
19, 43.68, 174.00
24, 44.04, 177.00
20, 46.05, 177.00
21, 46.52, 177.00
25, 44.04, 176.00
30, 45.11, 177.00
26, 45.55, 174.00
29, 45.54, 177.00
27, 45.98, 177.00
28, 47.42, 177.00
