Seed, Runtime(s), melmax
3, 66.50, 226.00
4, 66.78, 228.00
5, 67.22, 226.00
2, 67.93, 227.00
1, 68.45, 226.00
6, 73.15, 230.00
8, 65.14, 227.00
7, 66.43, 229.00
11, 67.17, 227.00
10, 67.50, 226.00
12, 72.74, 228.00
9, 74.49, 228.00
14, 63.43, 227.00
16, 63.68, 227.00
15, 65.66, 228.00
13, 66.77, 228.00
18, 68.10, 229.00
17, 70.35, 227.00
23, 63.50, 229.00
20, 65.14, 227.00
24, 67.13, 228.00
21, 67.95, 228.00
22, 69.18, 230.00
19, 72.35, 226.00
30, 64.26, 227.00
27, 65.63, 230.00
28, 66.78, 227.00
26, 66.80, 230.00
29, 68.32, 229.00
25, 69.84, 227.00
