Seed, Runtime(s), melmax
6, 192.79, 330.00
4, 195.64, 331.00
3, 196.02, 331.00
2, 200.48, 331.00
5, 201.03, 331.00
1, 208.10, 329.00
12, 193.87, 331.00
10, 194.15, 331.00
7, 195.15, 331.00
11, 196.35, 330.00
9, 199.73, 330.00
8, 204.38, 330.00
14, 194.28, 331.00
15, 198.01, 331.00
16, 201.01, 330.00
13, 206.18, 330.00
17, 206.75, 331.00
18, 213.20, 330.00
21, 190.57, 331.00
20, 197.50, 331.00
24, 200.79, 331.00
23, 201.71, 330.00
22, 202.23, 331.00
19, 204.86, 330.00
25, 225.67, 331.00
28, 226.88, 331.00
27, 229.18, 331.00
29, 230.43, 331.00
26, 232.58, 331.00
30, 235.62, 331.00
