Seed, Runtime(s), melmax
5, 14.28, 127.00
6, 14.25, 129.00
1, 14.63, 124.00
3, 14.73, 127.00
2, 14.79, 124.00
4, 15.11, 124.00
9, 14.25, 124.00
8, 14.38, 126.00
7, 14.62, 127.00
12, 14.90, 124.00
11, 14.92, 124.00
10, 15.01, 124.00
17, 13.89, 126.00
16, 14.00, 127.00
14, 14.54, 124.00
13, 15.01, 124.00
18, 14.98, 124.00
15, 15.15, 124.00
21, 13.44, 126.00
22, 14.43, 124.00
23, 14.53, 124.00
20, 14.64, 127.00
19, 14.93, 127.00
24, 15.09, 127.00
29, 14.47, 126.00
28, 14.62, 126.00
27, 14.93, 127.00
30, 15.12, 127.00
26, 15.65, 124.00
25, 15.77, 124.00
