Seed, Runtime(s), melmax
3, 138.37, 277.00
4, 144.91, 277.00
2, 145.59, 277.00
1, 147.61, 282.00
6, 149.65, 279.00
5, 156.14, 282.00
10, 140.47, 277.00
9, 140.88, 277.00
11, 142.68, 279.00
8, 144.38, 279.00
12, 146.57, 280.00
7, 149.33, 280.00
18, 139.79, 279.00
14, 144.82, 273.00
13, 146.52, 276.00
16, 147.13, 279.00
17, 148.87, 280.00
15, 153.66, 278.00
24, 137.96, 274.00
23, 141.43, 277.00
19, 147.77, 279.00
22, 148.04, 280.00
21, 149.65, 277.00
20, 152.60, 280.00
29, 136.34, 276.00
26, 141.52, 277.00
25, 144.36, 280.00
28, 144.91, 279.00
27, 145.82, 276.00
30, 149.56, 276.00
