Seed, Runtime(s), melmax
1, 125.80, 277.00
5, 126.54, 277.00
2, 132.71, 277.00
4, 133.74, 277.00
6, 136.63, 277.00
3, 136.82, 277.00
10, 128.63, 277.00
9, 128.64, 277.00
12, 130.46, 277.00
7, 130.87, 277.00
8, 133.32, 277.00
11, 133.45, 277.00
14, 132.94, 277.00
17, 133.00, 277.00
13, 137.91, 277.00
18, 138.98, 277.00
16, 142.07, 277.00
15, 144.36, 277.00
19, 122.91, 276.00
24, 130.03, 277.00
23, 131.10, 277.00
20, 132.52, 277.00
22, 132.90, 277.00
21, 138.54, 277.00
29, 128.02, 277.00
26, 128.46, 277.00
30, 129.07, 277.00
28, 130.01, 277.00
25, 135.12, 277.00
27, 140.07, 277.00
