Seed, Runtime(s), melmax
2, 175.21, 309.00
3, 178.61, 309.00
1, 188.30, 310.00
6, 189.22, 310.00
4, 191.60, 310.00
5, 192.98, 310.00
7, 176.18, 310.00
12, 177.55, 311.00
11, 180.72, 309.00
10, 184.37, 310.00
9, 189.27, 309.00
8, 189.69, 309.00
15, 174.96, 310.00
16, 177.82, 309.00
13, 181.91, 310.00
18, 183.40, 310.00
14, 188.26, 310.00
17, 201.61, 307.00
23, 175.98, 309.00
22, 182.73, 309.00
21, 183.79, 310.00
19, 184.93, 310.00
24, 199.45, 310.00
20, 199.89, 309.00
25, 175.77, 309.00
28, 179.75, 310.00
30, 182.67, 311.00
29, 184.58, 309.00
27, 184.87, 309.00
26, 195.76, 309.00
