Seed, Runtime(s), melmax
4, 26.57, 179.00
1, 26.74, 178.00
3, 26.80, 178.00
2, 27.70, 180.00
5, 28.12, 180.00
6, 29.36, 178.00
7, 26.36, 179.00
9, 27.04, 179.00
8, 27.13, 180.00
10, 27.40, 178.00
11, 27.97, 180.00
12, 28.83, 179.00
15, 27.16, 178.00
17, 27.24, 180.00
18, 27.76, 178.00
16, 27.87, 180.00
14, 28.12, 179.00
13, 28.47, 180.00
23, 25.11, 177.00
24, 27.25, 178.00
22, 27.71, 178.00
21, 28.05, 178.00
20, 28.69, 178.00
19, 29.05, 178.00
26, 25.04, 178.00
25, 26.51, 178.00
28, 27.73, 178.00
29, 28.22, 180.00
30, 28.29, 178.00
27, 29.15, 180.00
