Seed, Runtime(s), melmax
3, 312.02, 373.00
5, 318.64, 375.00
1, 320.19, 376.00
4, 320.31, 374.00
6, 323.04, 375.00
2, 325.98, 376.00
9, 309.49, 370.00
12, 313.65, 373.00
11, 316.15, 374.00
10, 317.28, 376.00
7, 317.59, 376.00
8, 327.72, 376.00
15, 324.10, 372.00
17, 324.51, 376.00
16, 324.52, 374.00
18, 328.84, 377.00
13, 329.02, 372.00
14, 331.77, 375.00
20, 316.77, 374.00
23, 324.92, 373.00
22, 327.85, 376.00
21, 329.60, 377.00
24, 332.62, 376.00
19, 333.62, 376.00
28, 313.60, 373.00
29, 320.73, 376.00
26, 322.09, 377.00
25, 322.99, 377.00
27, 323.09, 369.00
30, 324.02, 377.00
