Seed, Runtime(s), melmax
6, 15.34, 76.00
4, 15.95, 74.00
1, 16.54, 74.00
5, 17.06, 73.00
3, 17.35, 73.00
2, 17.91, 73.00
8, 14.65, 74.00
12, 14.83, 76.00
10, 15.29, 74.00
9, 15.64, 74.00
11, 15.97, 73.00
7, 16.49, 76.00
13, 14.86, 74.00
16, 15.87, 74.00
17, 16.20, 76.00
14, 16.28, 76.00
18, 16.28, 76.00
15, 16.73, 73.00
24, 16.05, 74.00
19, 16.11, 76.00
23, 16.16, 76.00
22, 16.62, 74.00
21, 16.72, 76.00
20, 16.78, 76.00
25, 14.80, 76.00
30, 16.01, 74.00
27, 16.20, 76.00
29, 16.52, 73.00
26, 16.63, 76.00
28, 16.73, 74.00
