Seed, Runtime(s), melmax
3, 45.70, 166.00
2, 46.89, 167.00
5, 47.31, 166.00
1, 47.57, 165.00
4, 48.38, 166.00
6, 48.62, 167.00
8, 45.62, 166.00
11, 47.17, 168.00
7, 47.83, 166.00
12, 48.16, 166.00
9, 48.91, 165.00
10, 49.32, 168.00
15, 44.07, 166.00
17, 47.66, 165.00
16, 47.80, 166.00
18, 48.42, 165.00
14, 48.50, 167.00
13, 48.72, 168.00
20, 44.66, 165.00
21, 44.91, 167.00
22, 45.69, 166.00
19, 45.92, 166.00
23, 47.42, 166.00
24, 48.37, 166.00
30, 44.03, 165.00
25, 45.28, 168.00
27, 46.55, 166.00
29, 46.80, 165.00
28, 47.20, 165.00
26, 47.38, 166.00
