Seed, Runtime(s), ecmin
1, 36.38, 2256
2, 37.23, 2256
3, 37.15, 2256
4, 37.48, 2256
6, 36.07, 2262
5, 36.73, 2259
8, 36.84, 2256
7, 37.83, 2259
10, 37.37, 2262
9, 38.85, 2259
11, 36.08, 2262
12, 38.72, 2259
13, 35.14, 2265
14, 39.80, 2256
15, 37.95, 2259
16, 38.28, 2259
17, 37.33, 2262
18, 42.31, 2253
20, 36.12, 2262
19, 39.44, 2259
21, 36.39, 2256
22, 36.74, 2250
24, 35.45, 2259
23, 36.25, 2259
25, 36.70, 2256
26, 36.93, 2250
27, 36.45, 2256
28, 38.11, 2262
29, 39.15, 2265
30, 39.22, 2259
