Seed, Runtime(s), ecmin
2, 47.74, 2721
1, 49.23, 2724
3, 47.21, 2730
4, 49.06, 2718
6, 48.83, 2727
5, 49.20, 2727
7, 51.32, 2715
8, 52.25, 2712
9, 47.30, 2733
10, 48.48, 2727
11, 45.94, 2730
12, 47.22, 2739
14, 47.70, 2730
13, 50.45, 2727
16, 47.19, 2733
15, 48.17, 2724
17, 49.35, 2730
18, 49.97, 2727
20, 47.15, 2715
19, 50.38, 2724
22, 47.89, 2721
21, 50.73, 2724
24, 47.34, 2730
23, 54.53, 2724
26, 49.56, 2724
25, 51.36, 2730
28, 47.71, 2727
27, 48.02, 2730
30, 48.54, 2730
29, 51.76, 2730
