Seed, Runtime(s), mecmin
5, 13.38, 23.00
1, 13.87, 23.00
2, 13.94, 23.00
6, 14.13, 23.00
4, 14.73, 21.00
3, 15.02, 23.00
7, 13.37, 23.00
11, 13.66, 21.00
8, 13.83, 23.00
10, 14.09, 23.00
9, 14.57, 24.00
12, 14.73, 20.00
16, 13.71, 23.00
14, 13.99, 23.00
13, 14.41, 20.00
17, 14.72, 22.00
15, 14.71, 23.00
18, 14.86, 23.00
23, 14.50, 22.00
21, 14.97, 23.00
24, 14.96, 20.00
19, 15.58, 22.00
20, 15.73, 23.00
22, 16.08, 23.00
26, 13.92, 23.00
28, 14.16, 21.00
25, 14.60, 23.00
30, 15.08, 23.00
27, 15.55, 21.00
29, 15.56, 20.00
