Seed, Runtime(s), mecmin
1, 24.66, 18.00
3, 25.29, 18.00
6, 25.37, 18.00
5, 26.17, 18.00
4, 27.41, 18.00
2, 27.81, 18.00
8, 23.99, 18.00
7, 24.74, 18.00
12, 25.04, 18.00
11, 25.35, 20.00
9, 25.89, 20.00
10, 26.62, 18.00
16, 24.53, 18.00
15, 24.91, 20.00
18, 25.76, 20.00
14, 26.57, 18.00
17, 26.94, 17.00
13, 27.55, 18.00
23, 24.40, 17.00
24, 25.10, 20.00
20, 25.37, 19.00
21, 25.69, 18.00
19, 26.11, 18.00
22, 26.57, 18.00
26, 24.15, 17.00
27, 24.48, 18.00
28, 25.99, 18.00
29, 26.21, 18.00
25, 26.85, 20.00
30, 27.93, 17.00
