Seed, Runtime(s), mecmin
5, 42.04, 20.00
3, 42.86, 20.00
2, 43.15, 20.00
1, 45.55, 20.00
4, 45.51, 20.00
6, 46.29, 20.00
8, 41.11, 20.00
12, 41.06, 20.00
7, 41.62, 20.00
10, 43.49, 20.00
9, 45.05, 20.00
11, 46.97, 20.00
15, 41.06, 20.00
16, 42.09, 20.00
17, 42.96, 20.00
18, 44.90, 20.00
13, 46.55, 20.00
14, 49.16, 20.00
23, 42.09, 20.00
24, 42.17, 20.00
20, 42.53, 20.00
21, 44.11, 20.00
19, 45.46, 20.00
22, 45.97, 20.00
30, 40.60, 20.00
27, 43.29, 20.00
25, 44.58, 20.00
29, 45.12, 20.00
28, 46.71, 20.00
26, 46.84, 20.00
