Seed, Runtime(s), mecmin
5, 62.87, 21.00
4, 63.21, 24.00
3, 63.23, 24.00
1, 63.28, 22.00
2, 64.21, 21.00
6, 66.03, 24.00
9, 59.92, 23.00
8, 62.78, 23.00
11, 62.88, 21.00
12, 63.89, 23.00
10, 64.34, 21.00
7, 65.86, 24.00
13, 56.54, 24.00
15, 62.71, 21.00
18, 63.11, 24.00
17, 64.30, 21.00
14, 64.45, 24.00
16, 65.58, 22.00
22, 56.31, 22.00
23, 61.04, 24.00
20, 61.21, 24.00
21, 62.09, 24.00
19, 62.52, 21.00
24, 64.52, 24.00
27, 57.46, 22.00
28, 60.05, 23.00
30, 60.69, 25.00
25, 61.71, 24.00
26, 62.95, 24.00
29, 65.67, 24.00
