Seed, Runtime(s), mecmin
6, 224.95, 24.00
2, 230.74, 36.00
1, 233.35, 27.00
3, 237.89, 33.00
5, 239.24, 24.00
4, 239.83, 27.00
9, 224.81, 27.00
7, 226.79, 27.00
10, 237.43, 25.00
11, 239.25, 25.00
8, 240.74, 24.00
12, 247.43, 26.00
13, 225.04, 24.00
14, 227.02, 25.00
15, 235.61, 24.00
17, 239.07, 33.00
16, 239.78, 24.00
18, 243.02, 24.00
20, 216.02, 27.00
21, 220.79, 32.00
23, 221.80, 29.00
19, 227.47, 32.00
24, 233.09, 24.00
22, 239.77, 24.00
28, 220.69, 27.00
30, 236.16, 27.00
27, 236.77, 29.00
25, 236.86, 24.00
26, 237.65, 28.00
29, 239.47, 28.00
