Seed, Runtime(s), mecmin
4, 91.21, 20.00
2, 97.04, 19.00
1, 98.61, 23.00
3, 98.98, 20.00
5, 102.40, 23.00
6, 102.35, 21.00
12, 83.14, 21.00
9, 95.84, 21.00
10, 97.16, 23.00
7, 98.69, 20.00
11, 98.77, 20.00
8, 99.71, 21.00
14, 90.86, 22.00
16, 93.66, 23.00
18, 93.66, 21.00
13, 95.31, 23.00
17, 100.97, 23.00
15, 104.84, 20.00
22, 95.78, 23.00
20, 96.66, 21.00
23, 97.68, 21.00
21, 97.97, 23.00
19, 101.28, 23.00
24, 104.32, 20.00
28, 91.60, 23.00
30, 93.09, 20.00
26, 95.03, 23.00
27, 98.17, 23.00
25, 98.70, 21.00
29, 101.35, 20.00
