Seed, Runtime(s), mecmin
3, 280.97, 24.00
5, 281.21, 25.00
1, 282.95, 25.00
2, 283.58, 24.00
6, 284.80, 25.00
4, 287.37, 25.00
10, 270.96, 24.00
8, 288.44, 25.00
11, 289.06, 24.00
9, 289.13, 25.00
7, 290.16, 25.00
12, 299.11, 24.00
16, 279.92, 27.00
14, 281.43, 26.00
17, 282.09, 25.00
18, 282.53, 25.00
15, 286.03, 27.00
13, 295.39, 25.00
22, 273.04, 24.00
19, 285.72, 27.00
24, 287.96, 23.00
21, 289.65, 23.00
23, 289.92, 25.00
20, 290.94, 25.00
25, 287.21, 24.00
29, 290.72, 26.00
27, 294.31, 25.00
28, 295.14, 25.00
26, 296.94, 24.00
30, 297.05, 24.00
