Seed, Runtime(s), mecmin
3, 163.44, 21.00
5, 166.45, 21.00
1, 166.95, 21.00
4, 173.77, 21.00
6, 175.76, 21.00
2, 176.29, 21.00
7, 160.58, 23.00
9, 166.97, 23.00
8, 168.95, 22.00
10, 169.93, 21.00
11, 173.52, 23.00
12, 176.52, 22.00
16, 161.90, 23.00
14, 167.26, 21.00
15, 167.69, 21.00
17, 170.32, 23.00
13, 170.41, 21.00
18, 173.73, 23.00
22, 163.49, 21.00
23, 164.63, 21.00
21, 166.11, 21.00
24, 166.56, 21.00
20, 169.57, 23.00
19, 173.31, 21.00
29, 167.85, 21.00
27, 168.87, 23.00
28, 170.67, 21.00
26, 170.88, 21.00
25, 171.32, 21.00
30, 172.54, 21.00
