Seed, Runtime(s), ecmin
2, 39.62, 1950.00
1, 39.69, 1947.00
3, 39.67, 1944.00
4, 41.81, 1947.00
7, 41.35, 1947.00
6, 41.78, 1947.00
8, 42.12, 1944.00
5, 42.28, 1947.00
10, 39.38, 1947.00
12, 40.21, 1947.00
11, 40.86, 1947.00
9, 41.18, 1947.00
13, 38.38, 1947.00
15, 39.56, 1944.00
16, 40.29, 1947.00
14, 40.46, 1947.00
20, 41.79, 1947.00
17, 42.44, 1947.00
18, 43.62, 1947.00
19, 44.62, 1947.00
23, 40.90, 1947.00
24, 41.27, 1947.00
22, 41.87, 1947.00
21, 42.39, 1947.00
25, 42.40, 1947.00
27, 43.17, 1944.00
26, 43.62, 1944.00
28, 47.77, 1947.00
30, 32.56, 1947.00
29, 35.52, 1947.00
