Seed, Runtime(s), ecmin
3, 76.68, 2739.00
2, 78.14, 2739.00
1, 78.81, 2739.00
4, 84.29, 2733.00
7, 82.83, 2721.00
5, 83.55, 2739.00
6, 83.89, 2739.00
8, 84.38, 2730.00
9, 66.09, 2736.00
12, 66.66, 2736.00
11, 66.80, 2733.00
10, 75.01, 2736.00
14, 68.89, 2736.00
16, 69.04, 2739.00
15, 69.49, 2727.00
13, 74.95, 2733.00
20, 72.16, 2736.00
17, 72.50, 2739.00
18, 72.51, 2733.00
19, 72.75, 2736.00
24, 80.94, 2739.00
21, 81.12, 2736.00
22, 81.16, 2736.00
23, 81.85, 2739.00
27, 64.94, 2739.00
28, 66.95, 2733.00
25, 67.08, 2727.00
26, 67.79, 2733.00
29, 54.00, 2739.00
30, 54.28, 2739.00
