Seed, Runtime(s), ecmin
2, 117.55, 3384.00
4, 119.31, 3378.00
1, 121.83, 3381.00
3, 130.60, 3384.00
8, 118.55, 3381.00
7, 123.87, 3384.00
5, 125.35, 3384.00
6, 125.41, 3384.00
12, 126.07, 3387.00
9, 126.87, 3384.00
11, 127.68, 3384.00
10, 129.73, 3387.00
13, 115.73, 3384.00
15, 117.26, 3384.00
14, 132.88, 3387.00
16, 132.86, 3384.00
20, 114.04, 3384.00
19, 116.94, 3387.00
18, 116.87, 3384.00
17, 119.91, 3384.00
21, 118.75, 3384.00
23, 120.14, 3387.00
24, 121.43, 3387.00
22, 122.95, 3387.00
26, 116.19, 3384.00
25, 116.77, 3384.00
27, 117.10, 3384.00
28, 120.25, 3384.00
30, 84.92, 3384.00
29, 89.82, 3384.00
