Seed, Runtime(s), ecmin
1, 4.68, 936.00
3, 4.87, 936.00
4, 5.05, 936.00
2, 5.32, 933.00
7, 4.54, 936.00
6, 4.90, 936.00
8, 5.00, 933.00
5, 5.27, 936.00
12, 4.84, 939.00
11, 4.87, 939.00
10, 4.88, 936.00
9, 5.06, 933.00
16, 4.80, 939.00
13, 4.92, 939.00
14, 5.04, 936.00
15, 5.07, 936.00
20, 4.99, 936.00
19, 5.14, 936.00
18, 5.19, 936.00
17, 5.41, 936.00
22, 5.42, 933.00
23, 5.47, 939.00
21, 5.56, 936.00
24, 5.61, 936.00
25, 4.70, 933.00
26, 4.75, 942.00
28, 4.99, 939.00
27, 5.18, 936.00
29, 3.75, 939.00
30, 3.77, 936.00
