Input, avgRuntime, ecmin, best, worst, std
100 4 10, 4.96, 936.40, 933.00, 942.00, 2.19
100 4 20, 5.92, 697.90, 696.00, 699.00, 1.46
300 4 10, 19.44, 3591.60, 3585.00, 3600.00, 3.72
300 4 20, 41.08, 1946.60, 1944.00, 1950.00, 1.30
500 4 10, 47.07, 5952.00, 5943.00, 5958.00, 5.28
500 4 20, 119.58, 3384.30, 3378.00, 3387.00, 1.98
