Seed, Runtime(s), ecmin
1, 47.55, 5949.00
4, 48.68, 5943.00
2, 48.86, 5943.00
3, 50.30, 5955.00
5, 45.70, 5952.00
7, 46.39, 5958.00
8, 47.67, 5946.00
6, 48.44, 5952.00
12, 45.35, 5958.00
10, 46.45, 5949.00
11, 47.36, 5955.00
9, 47.80, 5955.00
13, 46.72, 5955.00
15, 47.70, 5958.00
16, 47.70, 5958.00
14, 48.05, 5949.00
19, 45.79, 5958.00
18, 46.13, 5958.00
17, 47.59, 5958.00
20, 51.99, 5955.00
23, 47.83, 5955.00
24, 48.31, 5949.00
21, 48.56, 5946.00
22, 48.67, 5943.00
28, 45.47, 5952.00
26, 45.99, 5952.00
27, 46.40, 5958.00
25, 49.37, 5943.00
30, 39.25, 5952.00
29, 40.14, 5946.00
