Seed, Runtime(s), ecmin
3, 5.76, 696.00
1, 5.95, 699.00
2, 6.09, 699.00
4, 6.23, 696.00
7, 5.53, 699.00
5, 5.63, 696.00
6, 5.76, 699.00
8, 6.00, 696.00
10, 5.62, 699.00
11, 6.03, 699.00
9, 6.05, 696.00
12, 6.09, 696.00
15, 6.14, 699.00
16, 6.28, 696.00
13, 6.43, 696.00
14, 6.47, 699.00
19, 6.06, 699.00
20, 6.36, 696.00
18, 6.59, 696.00
17, 6.66, 699.00
23, 5.61, 699.00
24, 5.75, 699.00
22, 5.88, 699.00
21, 6.01, 699.00
27, 5.77, 699.00
25, 5.83, 699.00
26, 6.00, 699.00
28, 6.09, 699.00
29, 4.34, 699.00
30, 4.73, 696.00
