Seed, Runtime(s), ecmin
1, 29.04, 5115.00
4, 29.04, 5112.00
2, 29.12, 5112.00
3, 29.33, 5115.00
6, 28.15, 5112.00
7, 28.64, 5115.00
8, 28.76, 5112.00
5, 28.82, 5106.00
11, 29.39, 5112.00
9, 30.01, 5112.00
10, 30.99, 5112.00
12, 31.06, 5115.00
15, 28.79, 5115.00
14, 29.04, 5109.00
16, 29.67, 5115.00
13, 29.69, 5115.00
19, 29.91, 5112.00
18, 29.99, 5115.00
20, 30.18, 5112.00
17, 30.45, 5115.00
22, 28.51, 5109.00
24, 29.13, 5115.00
23, 29.88, 5112.00
21, 30.17, 5115.00
26, 29.61, 5112.00
25, 29.85, 5112.00
28, 29.82, 5109.00
27, 30.28, 5115.00
30, 25.09, 5115.00
29, 25.23, 5112.00
