Seed, Runtime(s), melmax
2, 52.58, 330
1, 54.35, 330
4, 53.52, 330
3, 55.09, 330
6, 50.92, 331
5, 51.55, 330
7, 53.48, 331
8, 55.42, 330
10, 52.71, 331
9, 58.18, 331
11, 51.52, 330
12, 54.68, 331
14, 53.87, 331
13, 58.04, 330
15, 51.66, 330
16, 53.46, 331
17, 53.17, 331
18, 54.12, 331
20, 52.42, 330
19, 54.20, 330
21, 53.15, 330
22, 53.28, 331
23, 52.08, 331
24, 61.60, 330
25, 53.96, 330
26, 56.23, 330
27, 53.43, 330
28, 57.47, 330
29, 55.29, 330
30, 63.88, 330
