Seed, Runtime(s), melmax
2, 119.28, 305
1, 121.26, 310
4, 122.79, 304
3, 127.66, 305
6, 111.27, 307
5, 123.66, 305
7, 110.86, 303
8, 112.07, 303
9, 95.12, 302
10, 109.76, 305
12, 93.12, 304
11, 109.75, 305
14, 95.68, 304
13, 103.72, 305
16, 102.04, 305
15, 106.74, 300
17, 100.12, 303
18, 111.06, 303
19, 93.41, 300
20, 106.25, 306
21, 101.72, 305
22, 104.49, 304
23, 99.08, 305
24, 112.66, 304
26, 101.41, 305
25, 101.63, 305
27, 106.82, 304
28, 111.98, 306
29, 91.02, 302
30, 104.43, 305
