Seed, Runtime(s), melmax
2, 28.19, 228
1, 29.92, 227
4, 31.23, 227
3, 32.59, 226
5, 28.98, 226
6, 31.42, 228
7, 30.57, 228
8, 31.97, 226
9, 32.28, 227
10, 34.17, 227
12, 30.89, 229
11, 32.28, 226
14, 30.01, 226
13, 30.35, 229
16, 30.07, 227
15, 32.42, 227
17, 28.19, 227
18, 29.35, 227
19, 29.18, 227
20, 31.89, 228
21, 28.17, 226
22, 29.41, 228
24, 27.38, 228
23, 30.04, 227
25, 29.34, 229
26, 30.01, 226
27, 28.51, 230
28, 30.15, 227
29, 30.06, 228
30, 30.61, 226
