Seed, Runtime(s), melmax
4, 108.79, 321
3, 111.26, 324
2, 114.66, 328
1, 118.96, 328
8, 111.42, 324
5, 114.53, 328
6, 114.61, 323
7, 114.86, 327
12, 113.10, 325
10, 114.82, 327
11, 114.86, 323
9, 118.59, 328
16, 109.52, 326
14, 111.05, 324
15, 111.43, 326
13, 113.44, 327
17, 114.11, 326
20, 118.55, 326
18, 118.76, 324
19, 121.57, 326
23, 118.66, 326
21, 125.24, 327
24, 126.26, 323
22, 134.54, 326
26, 110.85, 326
28, 112.63, 324
25, 117.41, 323
27, 120.01, 324
29, 79.53, 326
30, 84.32, 328
