Seed, Runtime(s), melmax
1, 55.39, 273
2, 56.12, 273
4, 56.68, 273
3, 57.00, 276
5, 63.63, 276
6, 64.55, 276
8, 64.95, 277
7, 68.54, 280
9, 57.73, 277
10, 58.49, 279
11, 59.82, 279
12, 67.23, 276
16, 55.83, 277
13, 56.67, 277
14, 57.79, 277
15, 59.44, 279
20, 65.69, 276
19, 66.34, 276
18, 69.58, 276
17, 69.70, 274
22, 58.24, 276
23, 58.59, 280
21, 59.49, 273
24, 59.76, 276
27, 56.66, 279
28, 59.37, 277
25, 61.10, 277
26, 62.33, 279
30, 42.94, 277
29, 44.69, 281
