Seed, Runtime(s), ecmin
4, 45.75, 2025.00
6, 46.42, 2028.00
3, 47.13, 2037.00
2, 47.61, 2034.00
5, 47.70, 2031.00
1, 47.86, 2043.00
7, 46.73, 2031.00
11, 47.41, 2034.00
8, 48.00, 2049.00
10, 48.05, 2037.00
9, 48.42, 2028.00
12, 52.48, 2025.00
14, 49.18, 2037.00
17, 50.34, 2031.00
16, 50.88, 2043.00
13, 51.53, 2046.00
18, 51.97, 2034.00
15, 53.59, 2043.00
20, 49.25, 2037.00
19, 51.34, 2028.00
23, 53.34, 2031.00
22, 53.99, 2040.00
24, 54.08, 2031.00
21, 54.32, 2025.00
30, 53.88, 2034.00
29, 55.24, 2049.00
28, 56.17, 2031.00
25, 57.36, 2040.00
27, 57.33, 2043.00
26, 57.97, 2031.00
