Seed, Runtime(s), ecmin
6, 85.07, 2265.00
4, 85.58, 2256.00
3, 87.75, 2256.00
5, 88.72, 2259.00
2, 88.72, 2253.00
1, 88.77, 2262.00
10, 69.63, 2262.00
9, 70.87, 2253.00
8, 72.03, 2259.00
7, 72.34, 2259.00
12, 73.71, 2259.00
11, 75.87, 2256.00
13, 64.00, 2259.00
17, 66.79, 2253.00
14, 67.02, 2265.00
15, 67.26, 2256.00
18, 68.19, 2259.00
16, 68.95, 2250.00
24, 65.76, 2262.00
22, 66.77, 2259.00
21, 67.48, 2256.00
20, 68.22, 2250.00
19, 69.55, 2262.00
23, 70.13, 2241.00
29, 69.47, 2265.00
26, 72.66, 2262.00
30, 72.68, 2262.00
25, 73.93, 2259.00
28, 74.13, 2256.00
27, 74.53, 2259.00
