Seed, Runtime(s), ecmin
5, 158.37, 2838.00
3, 158.74, 2853.00
4, 158.99, 2859.00
6, 159.41, 2862.00
1, 159.76, 2868.00
2, 160.32, 2850.00
7, 154.02, 2850.00
8, 156.62, 2847.00
10, 158.93, 2865.00
11, 159.51, 2856.00
12, 160.17, 2862.00
9, 160.53, 2871.00
17, 148.30, 2847.00
13, 150.96, 2862.00
15, 153.98, 2859.00
18, 154.82, 2859.00
14, 156.42, 2859.00
16, 160.73, 2859.00
20, 149.52, 2865.00
23, 152.29, 2859.00
21, 153.26, 2856.00
22, 153.25, 2865.00
19, 153.45, 2862.00
24, 157.01, 2865.00
27, 144.22, 2862.00
30, 149.57, 2862.00
28, 150.30, 2862.00
25, 150.64, 2859.00
29, 151.51, 2865.00
26, 155.42, 2859.00
