Seed, Runtime(s), ecmin
2, 7.73, 708.00
1, 7.99, 705.00
5, 8.09, 708.00
3, 8.15, 705.00
4, 8.13, 708.00
6, 8.35, 708.00
11, 8.23, 705.00
8, 8.37, 708.00
10, 8.41, 705.00
7, 8.40, 711.00
9, 8.53, 708.00
12, 8.55, 705.00
17, 6.95, 711.00
14, 7.36, 711.00
16, 7.48, 711.00
15, 7.58, 711.00
18, 7.54, 708.00
13, 7.77, 708.00
20, 7.53, 711.00
19, 7.57, 708.00
22, 7.53, 705.00
23, 7.66, 708.00
21, 7.85, 711.00
24, 7.95, 711.00
26, 7.53, 711.00
28, 7.55, 705.00
27, 7.73, 711.00
25, 7.82, 708.00
30, 7.82, 708.00
29, 8.19, 708.00
