Input, avgRuntime, ecmin, best, worst, std
100 4 20, 7.87, 708.30, 705.00, 711.00, 2.27
150 4 20, 15.31, 894.10, 888.00, 906.00, 4.48
200 4 20, 25.40, 1401.10, 1392.00, 1407.00, 3.56
250 4 20, 35.57, 1696.60, 1686.00, 1704.00, 4.64
300 4 20, 51.17, 2035.20, 2025.00, 2049.00, 6.93
350 4 20, 73.55, 2257.80, 2241.00, 2265.00, 5.14
400 4 20, 104.74, 2551.70, 2541.00, 2559.00, 4.06
450 4 20, 136.64, 2934.30, 2913.00, 2943.00, 6.60
500 4 20, 167.01, 3248.90, 3234.00, 3258.00, 5.81
