Seed, Runtime(s), ecmin
6, 14.41, 891.00
1, 14.78, 891.00
2, 14.89, 888.00
3, 15.29, 900.00
4, 15.94, 894.00
5, 15.88, 891.00
11, 14.26, 900.00
8, 15.11, 894.00
10, 15.14, 891.00
12, 15.14, 891.00
7, 15.18, 897.00
9, 15.92, 891.00
18, 14.47, 906.00
14, 14.69, 894.00
15, 15.04, 894.00
17, 15.33, 894.00
13, 15.60, 894.00
16, 15.75, 888.00
24, 15.14, 891.00
22, 15.24, 903.00
20, 15.41, 888.00
21, 15.90, 897.00
19, 16.06, 894.00
23, 16.06, 891.00
26, 14.65, 891.00
25, 15.31, 900.00
29, 15.49, 894.00
30, 15.52, 891.00
28, 15.92, 900.00
27, 15.95, 894.00
