Seed, Runtime(s), ecmin
2, 157.90, 3249.00
1, 159.11, 3249.00
3, 163.13, 3246.00
6, 163.61, 3249.00
4, 164.35, 3246.00
5, 167.28, 3255.00
12, 160.19, 3258.00
8, 163.76, 3255.00
9, 168.50, 3246.00
10, 170.56, 3255.00
11, 171.68, 3249.00
7, 174.89, 3249.00
15, 156.07, 3249.00
14, 159.18, 3237.00
17, 164.33, 3234.00
18, 167.29, 3246.00
16, 167.36, 3252.00
13, 171.18, 3240.00
23, 163.07, 3255.00
19, 168.34, 3243.00
21, 169.05, 3246.00
24, 169.59, 3252.00
22, 171.81, 3255.00
20, 176.02, 3243.00
25, 168.08, 3249.00
26, 168.38, 3255.00
30, 170.42, 3258.00
28, 170.72, 3252.00
27, 171.88, 3246.00
29, 172.58, 3249.00
