Seed, Runtime(s), ecmin
6, 14.67, 1059.00
2, 15.30, 1056.00
5, 15.31, 1065.00
1, 15.58, 1056.00
3, 15.55, 1059.00
4, 15.66, 1047.00
8, 14.43, 1065.00
10, 14.72, 1062.00
11, 14.74, 1062.00
7, 14.92, 1056.00
9, 15.09, 1056.00
12, 15.05, 1062.00
13, 14.14, 1059.00
17, 14.69, 1056.00
14, 14.99, 1056.00
16, 15.04, 1056.00
18, 15.25, 1056.00
15, 15.32, 1053.00
21, 17.22, 1056.00
23, 17.27, 1062.00
20, 17.48, 1059.00
19, 17.77, 1056.00
24, 17.95, 1056.00
22, 18.31, 1056.00
29, 13.88, 1062.00
30, 14.29, 1056.00
26, 14.50, 1065.00
25, 14.53, 1056.00
28, 14.54, 1059.00
27, 15.36, 1056.00
