Seed, Runtime(s), ecmin
5, 33.33, 1698.00
2, 35.15, 1704.00
6, 35.55, 1698.00
4, 36.14, 1695.00
1, 36.24, 1692.00
3, 37.83, 1692.00
10, 34.94, 1701.00
12, 35.13, 1704.00
9, 35.51, 1695.00
8, 35.68, 1695.00
11, 35.94, 1698.00
7, 36.13, 1704.00
15, 35.40, 1695.00
16, 35.45, 1698.00
17, 35.51, 1695.00
14, 35.86, 1698.00
18, 36.86, 1689.00
13, 37.25, 1698.00
23, 34.87, 1692.00
20, 35.22, 1695.00
24, 35.27, 1701.00
19, 36.27, 1686.00
21, 36.76, 1689.00
22, 36.90, 1701.00
25, 33.93, 1698.00
30, 34.35, 1704.00
29, 34.56, 1698.00
27, 34.73, 1695.00
26, 35.01, 1698.00
28, 35.34, 1692.00
