Seed, Runtime(s), ecmin
1, 23.06, 1404.00
4, 23.25, 1401.00
6, 23.52, 1401.00
5, 23.76, 1401.00
2, 23.89, 1401.00
3, 23.88, 1398.00
12, 25.45, 1401.00
7, 25.50, 1404.00
9, 25.75, 1401.00
10, 25.91, 1401.00
8, 26.15, 1401.00
11, 26.16, 1401.00
15, 23.44, 1401.00
14, 24.19, 1404.00
17, 24.46, 1398.00
13, 24.66, 1404.00
16, 24.77, 1407.00
18, 25.83, 1401.00
19, 25.74, 1392.00
23, 26.62, 1407.00
20, 26.86, 1398.00
21, 27.21, 1407.00
24, 27.18, 1404.00
22, 29.28, 1395.00
25, 24.92, 1404.00
26, 25.07, 1401.00
27, 26.00, 1398.00
29, 26.23, 1404.00
30, 26.23, 1398.00
28, 27.29, 1395.00
