Seed, Runtime(s), ecmin
1, 24.60, 1335.00
5, 24.70, 1329.00
2, 24.80, 1338.00
4, 25.31, 1335.00
6, 25.91, 1329.00
3, 26.31, 1329.00
7, 25.66, 1344.00
8, 26.05, 1332.00
12, 26.08, 1323.00
11, 26.46, 1329.00
10, 27.38, 1317.00
9, 27.63, 1317.00
15, 24.11, 1329.00
16, 24.42, 1332.00
18, 24.97, 1329.00
13, 25.32, 1323.00
17, 25.26, 1323.00
14, 25.77, 1323.00
21, 24.08, 1332.00
20, 24.45, 1344.00
24, 24.63, 1332.00
23, 24.95, 1335.00
22, 25.25, 1332.00
19, 25.89, 1326.00
25, 24.05, 1326.00
29, 25.09, 1332.00
27, 25.22, 1332.00
26, 25.40, 1338.00
28, 25.49, 1326.00
30, 25.72, 1335.00
