Input, avgRuntime, ecmin, best, worst, std
100 4 20, 8.77, 696.90, 696.00, 699.00, 1.39
150 4 20, 15.45, 1058.00, 1047.00, 1065.00, 3.88
200 4 20, 25.36, 1330.20, 1317.00, 1344.00, 6.52
250 4 20, 37.54, 1752.10, 1743.00, 1764.00, 4.94
300 4 20, 60.37, 1939.70, 1932.00, 1944.00, 4.21
350 4 20, 84.90, 2326.10, 2319.00, 2334.00, 3.81
400 4 20, 113.43, 2720.00, 2706.00, 2736.00, 6.06
450 4 20, 155.03, 2858.90, 2838.00, 2871.00, 6.97
500 4 20, 196.28, 3378.50, 3369.00, 3384.00, 4.10
