Seed, Runtime(s), ecmin
2, 34.67, 1755.00
4, 35.10, 1758.00
3, 35.40, 1746.00
5, 35.52, 1752.00
6, 35.64, 1749.00
1, 35.88, 1752.00
11, 36.01, 1743.00
8, 36.40, 1755.00
9, 36.98, 1746.00
10, 37.01, 1749.00
7, 37.42, 1746.00
12, 37.63, 1752.00
13, 37.72, 1746.00
17, 37.97, 1755.00
18, 37.93, 1752.00
14, 38.64, 1746.00
15, 38.93, 1752.00
16, 39.58, 1749.00
19, 37.07, 1752.00
22, 37.86, 1752.00
24, 38.42, 1764.00
21, 38.57, 1755.00
20, 39.07, 1761.00
23, 39.81, 1746.00
25, 37.79, 1758.00
27, 37.82, 1752.00
28, 38.54, 1755.00
29, 38.67, 1752.00
30, 39.02, 1758.00
26, 39.24, 1755.00
