Seed, Runtime(s), ecmin
6, 97.94, 2550.00
4, 101.51, 2550.00
2, 104.84, 2550.00
3, 105.36, 2556.00
1, 105.59, 2556.00
5, 109.69, 2550.00
7, 101.85, 2550.00
12, 101.76, 2550.00
9, 102.53, 2553.00
10, 103.92, 2547.00
11, 105.12, 2550.00
8, 106.03, 2550.00
13, 100.92, 2553.00
17, 102.43, 2556.00
18, 103.89, 2550.00
15, 104.78, 2550.00
14, 105.44, 2550.00
16, 106.22, 2550.00
23, 102.06, 2547.00
19, 104.62, 2541.00
20, 106.39, 2559.00
21, 109.11, 2553.00
22, 109.13, 2559.00
24, 109.18, 2550.00
28, 99.30, 2559.00
25, 103.89, 2547.00
29, 105.33, 2556.00
30, 107.10, 2553.00
26, 107.93, 2550.00
27, 108.39, 2556.00
