Seed, Runtime(s), ecmin
6, 81.75, 2319.00
1, 84.97, 2331.00
3, 86.30, 2325.00
2, 87.49, 2331.00
4, 87.65, 2325.00
5, 87.61, 2322.00
10, 87.28, 2328.00
12, 87.56, 2325.00
9, 87.95, 2331.00
7, 90.56, 2325.00
8, 91.09, 2328.00
11, 93.47, 2322.00
17, 80.33, 2331.00
18, 81.98, 2334.00
15, 83.32, 2331.00
13, 83.92, 2331.00
14, 85.45, 2328.00
16, 87.49, 2319.00
24, 76.99, 2328.00
19, 81.37, 2325.00
20, 81.97, 2322.00
21, 82.78, 2322.00
22, 83.55, 2325.00
23, 85.98, 2325.00
26, 80.28, 2328.00
28, 81.97, 2325.00
25, 82.79, 2325.00
30, 83.13, 2325.00
27, 83.67, 2322.00
29, 86.56, 2325.00
