Seed, Runtime(s), ecmin
4, 7.85, 696.00
2, 8.21, 696.00
6, 8.29, 696.00
5, 8.45, 696.00
1, 8.57, 699.00
3, 8.84, 696.00
9, 10.40, 699.00
7, 10.66, 696.00
11, 10.89, 696.00
8, 11.02, 696.00
10, 11.14, 699.00
12, 11.29, 696.00
16, 7.74, 696.00
17, 7.80, 696.00
14, 8.14, 699.00
15, 8.23, 696.00
13, 8.62, 696.00
18, 8.68, 696.00
19, 7.85, 699.00
24, 8.06, 696.00
21, 8.21, 699.00
20, 8.46, 699.00
23, 8.48, 699.00
22, 8.50, 696.00
25, 7.59, 696.00
29, 8.06, 696.00
28, 8.08, 696.00
27, 8.31, 696.00
30, 8.28, 699.00
26, 8.50, 696.00
