Seed, Runtime(s), ecmin
6, 56.84, 1932.00
1, 57.26, 1941.00
3, 57.98, 1935.00
2, 58.28, 1932.00
4, 59.15, 1938.00
5, 59.86, 1941.00
12, 59.91, 1941.00
7, 61.13, 1935.00
8, 61.29, 1941.00
10, 61.36, 1935.00
9, 62.75, 1935.00
11, 62.93, 1944.00
15, 58.88, 1941.00
18, 60.00, 1935.00
17, 60.16, 1941.00
14, 62.52, 1944.00
13, 63.52, 1941.00
16, 64.06, 1944.00
24, 56.99, 1944.00
21, 58.15, 1944.00
23, 59.06, 1944.00
22, 60.03, 1935.00
20, 60.81, 1944.00
19, 63.19, 1941.00
30, 58.55, 1944.00
25, 60.32, 1944.00
26, 61.09, 1938.00
27, 61.06, 1944.00
29, 61.18, 1941.00
28, 62.81, 1932.00
