Seed, Runtime(s), melmax
3, 46.92, 287.00
1, 46.95, 289.00
2, 48.13, 289.00
4, 48.32, 289.00
8, 48.37, 286.00
7, 48.98, 288.00
6, 48.97, 290.00
5, 49.57, 287.00
12, 49.74, 289.00
11, 51.32, 290.00
10, 51.58, 287.00
9, 51.66, 289.00
16, 53.33, 290.00
14, 53.65, 289.00
15, 53.80, 292.00
13, 54.15, 289.00
17, 51.93, 291.00
18, 52.22, 292.00
19, 52.34, 289.00
20, 52.43, 289.00
24, 50.65, 289.00
21, 51.68, 291.00
23, 51.86, 288.00
22, 52.70, 291.00
26, 49.82, 292.00
27, 51.01, 287.00
25, 52.66, 292.00
28, 53.29, 287.00
30, 39.12, 289.00
29, 39.62, 285.00
