Seed, Runtime(s), melmax
4, 30.50, 251.00
1, 30.88, 258.00
2, 31.26, 271.00
3, 31.71, 263.00
8, 30.59, 268.00
7, 31.41, 263.00
5, 32.66, 263.00
6, 33.33, 252.00
9, 28.73, 263.00
12, 28.84, 257.00
10, 28.95, 257.00
11, 29.29, 263.00
16, 28.77, 266.00
15, 29.21, 257.00
14, 29.26, 249.00
13, 29.34, 257.00
17, 28.22, 257.00
20, 28.92, 254.00
18, 29.26, 263.00
19, 29.41, 253.00
23, 30.04, 260.00
24, 30.01, 263.00
22, 30.13, 252.00
21, 30.45, 254.00
27, 27.92, 266.00
25, 28.88, 259.00
26, 28.91, 254.00
28, 28.91, 257.00
30, 24.01, 251.00
29, 24.14, 261.00
