Seed, Runtime(s), melmax
1, 67.13, 309.00
2, 67.63, 308.00
3, 68.32, 307.00
4, 72.74, 307.00
7, 66.21, 307.00
5, 67.00, 307.00
6, 67.50, 307.00
8, 69.34, 307.00
9, 72.17, 308.00
11, 72.68, 307.00
12, 73.01, 307.00
10, 77.30, 307.00
13, 73.41, 310.00
15, 74.41, 307.00
16, 74.89, 307.00
14, 78.61, 307.00
19, 77.04, 307.00
20, 77.80, 309.00
17, 78.14, 307.00
18, 78.34, 307.00
22, 75.84, 309.00
23, 76.93, 307.00
24, 77.03, 309.00
21, 78.38, 309.00
27, 81.61, 307.00
26, 82.23, 307.00
28, 82.34, 307.00
25, 82.76, 307.00
29, 62.47, 309.00
30, 63.82, 307.00
