Seed, Runtime(s), melmax
3, 126.35, 300.00
2, 128.49, 299.00
4, 133.30, 300.00
1, 140.06, 300.00
6, 127.59, 300.00
7, 127.75, 300.00
5, 129.72, 300.00
8, 134.97, 300.00
12, 128.49, 300.00
10, 128.74, 299.00
9, 131.27, 300.00
11, 133.56, 300.00
14, 123.30, 301.00
15, 125.25, 300.00
13, 126.52, 300.00
16, 132.42, 301.00
19, 121.88, 299.00
18, 122.64, 300.00
20, 123.06, 301.00
17, 123.13, 300.00
23, 117.38, 300.00
21, 119.37, 301.00
24, 119.85, 300.00
22, 121.64, 301.00
26, 113.95, 299.00
25, 116.17, 300.00
28, 116.72, 300.00
27, 118.34, 300.00
30, 79.21, 300.00
29, 84.15, 300.00
