Seed, Runtime(s), melmax
4, 18.81, 108.00
2, 18.89, 101.00
1, 19.02, 98.00
3, 19.58, 106.00
7, 19.66, 104.00
8, 19.87, 108.00
6, 20.00, 105.00
5, 20.08, 94.00
9, 20.40, 99.00
11, 20.64, 107.00
10, 20.64, 106.00
12, 21.32, 110.00
13, 19.90, 108.00
15, 20.11, 109.00
16, 20.22, 100.00
14, 20.32, 105.00
20, 20.15, 104.00
19, 20.25, 106.00
18, 20.46, 104.00
17, 20.76, 97.00
23, 19.26, 108.00
21, 19.28, 99.00
24, 19.90, 108.00
22, 19.97, 112.00
28, 18.85, 98.00
26, 19.17, 103.00
27, 19.55, 106.00
25, 19.72, 108.00
30, 15.73, 107.00
29, 16.20, 103.00
