seed, runtime(s), ecmin
1, 17.08, 1143
2, 15.42, 1119
3, 15.23, 1179
4, 15.61, 1140
5, 15.36, 1170
6, 14.91, 1140
7, 14.93, 1128
8, 14.54, 1170
9, 14.20, 1188
10, 14.97, 1149
11, 15.10, 1170
12, 14.43, 1143
13, 14.73, 1179
14, 14.99, 1158
15, 15.28, 1146
16, 14.62, 1173
17, 14.24, 1158
18, 14.87, 1179
19, 14.48, 1122
20, 14.68, 1233
21, 14.56, 1137
22, 14.79, 1176
23, 14.57, 1140
24, 14.91, 1122
25, 14.57, 1146
26, 14.82, 1146
27, 14.57, 1146
28, 15.82, 1173
29, 15.09, 1200
30, 15.34, 1140
