seed, runtime(s), ecmin
1, 10.51, 684
2, 9.33, 663
3, 9.36, 657
4, 8.52, 678
5, 9.11, 675
6, 8.84, 663
7, 8.35, 675
8, 8.81, 678
9, 8.69, 657
10, 9.22, 684
11, 9.24, 657
12, 8.30, 675
13, 8.35, 660
14, 8.95, 663
15, 9.03, 672
16, 8.66, 669
17, 8.71, 663
18, 8.58, 660
19, 8.55, 666
20, 8.73, 666
21, 8.88, 687
22, 8.36, 675
23, 7.99, 672
24, 7.09, 654
25, 6.94, 669
26, 6.51, 672
27, 6.24, 663
28, 6.69, 663
29, 6.43, 669
30, 6.47, 675
