Input, avgRuntime, ecmin, best, worst, std
100 4 20, 5.83 706.20 702 711 .3200
150 4 20, 11.11 896.80 888 909 .5100
200 4 20, 18.27 1404.60 1395 1410 .2900
250 4 20, 25.35 1692.10 1683 1701 .2500
300 4 20, 32.23 2044.10 2031 2055 .3400
350 4 20, 45.52 2278.60 2271 2286 .1900
400 4 20, 69.65 2572.60 2556 2583 .2600
450 4 20, 96.13 2934.60 2925 2946 .1800
500 4 20, 114.51 3270.50 3252 3285 .2400
